Indicator_ID,Indicator_Name,Parent_Code,Parent_Name,Area_Code,Area_Name,Area_Type,Sex,Age,Category_Type,Category,Time_period,Value,Lower_CI_limit,Upper_CI_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_subnational_parent_value_or_percentiles
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,,,2007/08,69.0365860887313,68.79824388653,69.2749282909326,96456,139726,,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Most deprived decile (IMD2010),2007/08,,,,,,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Second most deprived decile (IMD2010),2007/08,64.4535982553913,,,5320,8254,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Third more deprived decile (IMD2010),2007/08,,,,,,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Fourth more deprived decile (IMD2010),2007/08,64.1054756497603,,,5081,7926,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Fifth more deprived decile (IMD2010),2007/08,,,,,,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Fifth less deprived decile (IMD2010),2007/08,,,,,,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Fourth less deprived decile (IMD2010),2007/08,,,,,,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Third less deprived decile (IMD2010),2007/08,74.5205479452055,,,14960,20075,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Second least deprived decile (IMD2010),2007/08,,,,,,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,County & UA deprivation deciles in England (IMD2010),Least deprived decile (IMD2010),2007/08,74.9216519256216,,,10758,14359,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,District & UA deprivation deciles in England (IMD2010),Most deprived decile (IMD2010),2007/08,62.3529039605213,,,19711,31612,Aggregated from all known lower geography values,,Not compared,Not compared
92441,4.02 - Proportion of five year old children free from dental decay ,,,E92000001,England,Country,Persons,5 yrs,District & UA deprivation deciles in England (IMD2010),Second most deprived decile (IMD2010),2007/08,,,,,,Aggregated from all known lower geography values,,Not compared,Not compared
